date,neighborhood,center_name,attendance_count
2023-02-27,Polish Hill,West Penn Community Center,7
2023-02-27,Polish Hill,West Penn Community Center,43
2023-02-27,Polish Hill,West Penn Community Center,18
2023-02-27,Polish Hill,West Penn Community Center,81
2023-02-27,Polish Hill,West Penn Community Center,64
2023-02-27,Polish Hill,West Penn Community Center,17
2023-02-27,Polish Hill,West Penn Community Center,79
2023-02-25,Polish Hill,West Penn Community Center,56
2023-02-25,Polish Hill,West Penn Community Center,19
2023-02-24,Polish Hill,West Penn Community Center,58
2023-02-24,Polish Hill,West Penn Community Center,13
2023-02-24,Polish Hill,West Penn Community Center,49
2023-02-24,Polish Hill,West Penn Community Center,38
2023-02-24,Polish Hill,West Penn Community Center,84
2023-02-24,Polish Hill,West Penn Community Center,9
2023-02-24,Polish Hill,West Penn Community Center,60
2023-02-24,Polish Hill,West Penn Community Center,15
2023-02-24,Polish Hill,West Penn Community Center,60
2023-02-23,Polish Hill,West Penn Community Center,78
2023-02-23,Polish Hill,West Penn Community Center,53
2023-02-23,Polish Hill,West Penn Community Center,10
2023-02-23,Polish Hill,West Penn Community Center,45
2023-02-23,Polish Hill,West Penn Community Center,16
2023-02-23,Polish Hill,West Penn Community Center,9
2023-02-23,Polish Hill,West Penn Community Center,65
2023-02-23,Polish Hill,West Penn Community Center,13
2023-02-23,Polish Hill,West Penn Community Center,67
2023-02-23,Polish Hill,West Penn Community Center,297
2023-02-22,Polish Hill,West Penn Community Center,52
2023-02-22,Polish Hill,West Penn Community Center,19
2023-02-22,Polish Hill,West Penn Community Center,86
2023-02-22,Polish Hill,West Penn Community Center,29
2023-02-22,Polish Hill,West Penn Community Center,70
2023-02-22,Polish Hill,West Penn Community Center,19
2023-02-22,Polish Hill,West Penn Community Center,67
2023-02-22,Polish Hill,West Penn Community Center,16
2023-02-22,Polish Hill,West Penn Community Center,56
2023-02-21,Polish Hill,West Penn Community Center,66
2023-02-21,Polish Hill,West Penn Community Center,17
2023-02-21,Polish Hill,West Penn Community Center,49
2023-02-21,Polish Hill,West Penn Community Center,39
2023-02-21,Polish Hill,West Penn Community Center,17
2023-02-21,Polish Hill,West Penn Community Center,31
2023-02-21,Polish Hill,West Penn Community Center,24
2023-02-21,Polish Hill,West Penn Community Center,75
2023-02-21,Polish Hill,West Penn Community Center,204
2023-02-20,Polish Hill,West Penn Community Center,48
2023-02-20,Polish Hill,West Penn Community Center,7
2023-02-20,Polish Hill,West Penn Community Center,18
2023-02-20,Polish Hill,West Penn Community Center,38
2023-02-20,Polish Hill,West Penn Community Center,10
2023-02-20,Polish Hill,West Penn Community Center,62
2023-02-20,Polish Hill,West Penn Community Center,13
2023-02-20,Polish Hill,West Penn Community Center,67
2023-02-20,Polish Hill,West Penn Community Center,11
2023-02-20,Polish Hill,West Penn Community Center,85
2023-02-18,Polish Hill,West Penn Community Center,44
2023-02-18,Polish Hill,West Penn Community Center,35
2023-02-17,Polish Hill,West Penn Community Center,70
2023-02-17,Polish Hill,West Penn Community Center,21
2023-02-17,Polish Hill,West Penn Community Center,17
2023-02-17,Polish Hill,West Penn Community Center,43
2023-02-17,Polish Hill,West Penn Community Center,13
2023-02-17,Polish Hill,West Penn Community Center,46
2023-02-17,Polish Hill,West Penn Community Center,64
2023-02-17,Polish Hill,West Penn Community Center,17
2023-02-17,Polish Hill,West Penn Community Center,122
2023-02-16,Polish Hill,West Penn Community Center,38
2023-02-16,Polish Hill,West Penn Community Center,40
2023-02-16,Polish Hill,West Penn Community Center,16
2023-02-16,Polish Hill,West Penn Community Center,43
2023-02-16,Polish Hill,West Penn Community Center,46
2023-02-16,Polish Hill,West Penn Community Center,8
2023-02-16,Polish Hill,West Penn Community Center,16
2023-02-16,Polish Hill,West Penn Community Center,99
2023-02-16,Polish Hill,West Penn Community Center,138
2023-02-15,Polish Hill,West Penn Community Center,11
2023-02-15,Polish Hill,West Penn Community Center,15
2023-02-15,Polish Hill,West Penn Community Center,19
2023-02-15,Polish Hill,West Penn Community Center,27
2023-02-15,Polish Hill,West Penn Community Center,16
2023-02-15,Polish Hill,West Penn Community Center,21
2023-02-15,Polish Hill,West Penn Community Center,69
2023-02-15,Polish Hill,West Penn Community Center,14
2023-02-15,Polish Hill,West Penn Community Center,68
2023-02-14,Polish Hill,West Penn Community Center,87
2023-02-14,Polish Hill,West Penn Community Center,26
2023-02-14,Polish Hill,West Penn Community Center,23
2023-02-14,Polish Hill,West Penn Community Center,45
2023-02-14,Polish Hill,West Penn Community Center,34
2023-02-14,Polish Hill,West Penn Community Center,6
2023-02-14,Polish Hill,West Penn Community Center,15
2023-02-14,Polish Hill,West Penn Community Center,41
2023-02-14,Polish Hill,West Penn Community Center,135
2023-02-13,Polish Hill,West Penn Community Center,81
2023-02-13,Polish Hill,West Penn Community Center,14
2023-02-13,Polish Hill,West Penn Community Center,13
2023-02-13,Polish Hill,West Penn Community Center,35
2023-02-13,Polish Hill,West Penn Community Center,21
2023-02-13,Polish Hill,West Penn Community Center,68
2023-02-13,Polish Hill,West Penn Community Center,50
2023-02-13,Polish Hill,West Penn Community Center,19
2023-02-13,Polish Hill,West Penn Community Center,66
2023-02-11,Polish Hill,West Penn Community Center,4
2023-02-11,Polish Hill,West Penn Community Center,9
2023-02-11,Polish Hill,West Penn Community Center,31
2023-02-10,Polish Hill,West Penn Community Center,71
2023-02-10,Polish Hill,West Penn Community Center,6
2023-02-10,Polish Hill,West Penn Community Center,18
2023-02-10,Polish Hill,West Penn Community Center,44
2023-02-10,Polish Hill,West Penn Community Center,73
2023-02-10,Polish Hill,West Penn Community Center,19
2023-02-10,Polish Hill,West Penn Community Center,55
2023-02-10,Polish Hill,West Penn Community Center,12
2023-02-10,Polish Hill,West Penn Community Center,73
2023-02-09,Polish Hill,West Penn Community Center,71
2023-02-09,Polish Hill,West Penn Community Center,11
2023-02-09,Polish Hill,West Penn Community Center,20
2023-02-09,Polish Hill,West Penn Community Center,54
2023-02-09,Polish Hill,West Penn Community Center,8
2023-02-09,Polish Hill,West Penn Community Center,32
2023-02-09,Polish Hill,West Penn Community Center,27
2023-02-09,Polish Hill,West Penn Community Center,70
2023-02-09,Polish Hill,West Penn Community Center,130
2023-02-08,Polish Hill,West Penn Community Center,47
2023-02-08,Polish Hill,West Penn Community Center,6
2023-02-08,Polish Hill,West Penn Community Center,12
2023-02-08,Polish Hill,West Penn Community Center,28
2023-02-08,Polish Hill,West Penn Community Center,50
2023-02-08,Polish Hill,West Penn Community Center,16
2023-02-08,Polish Hill,West Penn Community Center,33
2023-02-08,Polish Hill,West Penn Community Center,21
2023-02-08,Polish Hill,West Penn Community Center,75
2023-02-07,Polish Hill,West Penn Community Center,79
2023-02-07,Polish Hill,West Penn Community Center,7
2023-02-07,Polish Hill,West Penn Community Center,27
2023-02-07,Polish Hill,West Penn Community Center,57
2023-02-07,Polish Hill,West Penn Community Center,14
2023-02-07,Polish Hill,West Penn Community Center,58
